name	ratings	date	helpful	comment	comment_len
신윤호	5	2018-10-28	0	모이는 포인트가 개미똥만큼도 못하지만 타어플에비해 넘사벽으로 좋고 편하다	40
에이드레몬	5	2019-06-24	0	종종이용하는배달정보~아주요긴하게잘이용하고있어요^^	27
조성은	5	2018-12-11	0	배달 시켜먹기 진짜 좋아요ㅋㅋ	16
A njo	5	2019-06-15	0	이벤트도 많고 원하는 메뉴를 찾기 쉬워 좋네요.	26
tae gyun kim	5	2019-06-13	0	일주일에 최소 2번은 주문해서 먹네요!	21
꽝뚜	5	2019-03-15	0	편해요 그리고 빨라서 좋아요	15
Masaki Aiba	5	2019-03-02	0	잘 활용하고 있고 배달매장이 많아서 편리하네요	25
박아름	5	2018-11-16	0	너무 편하고 좋아서 바깥 공기를 못마실 정도예요. 잘 이용할께요.	36
블랙클로버	5	2019-01-16	0	전화 없이 바로 주문을 할 수있어서 편리하고 좋네요.	29
문현주	5	2018-11-30	0	처음 배달앱을 깔아봤는데 편리하고 간편해서 좋아요.	28
Google 사용자	5	2019-02-16	0	빠른배송에 토스트도 식지않고 음료도 맛있었어요~ 크레마스토리 좋구나~~	39
이동규	5	2019-08-03	0	배달을 편하게 시켜먹을수 있어서 정말 좋았습니다.	27
별여우	5	2019-04-01	0	최고에요 맛집도 많고 배달 내용도 알 수 있어서 너무 좋아요	33
